nameQL,countResults
startItem,-1
AlertSuppression.ql,1
ClassifyFiles.ql,3
CommentedOutCode.ql,27
UncommentedFunction.ql,34
DocumentApi.ql,3653
TodoComments.ql,363
FixmeComments.ql,1
LinesOfUserCode.ql,2
LinesOfCode.ql,2
Cleanup-DuplicateIncludeGuard.ql,5
Debug.ql,1
TaintedFormatStrings.ql,1
Stats.ql,2
PreparedStagedPointsTo.ql,2
IncorrectAllocationErrorHandling.ql,1
NoSpaceForZeroTerminator.ql,1
ImproperNullTerminationTainted.ql,7
AuthenticationBypass.ql,1
SuspiciousAddWithSizeof.ql,1
IncorrectPointerScaling.ql,3
IncorrectPointerScalingChar.ql,8
IncorrectPointerScalingVoid.ql,1
HResultBooleanConversion.ql,1
UncontrolledProcessOperation.ql,1
DangerousFunctionOverflow.ql,1
PotentiallyDangerousFunction.ql,5
DangerousUseOfCin.ql,1
SSLResultNotChecked.ql,1
SSLResultConflation.ql,1
BadlyBoundedWrite.ql,1
OverrunWriteFloat.ql,1
VeryLikelyOverrunWrite.ql,1
OverrunWrite.ql,1
UnboundedWrite.ql,1
WcharCharConversion.ql,1
IRUntrustedDataToExternalAPI.ql,223
UntrustedDataToExternalAPI.ql,-1
IRCountUntrustedDataToExternalAPI.ql,26
CountUntrustedDataToExternalAPI.ql,26
InfiniteLoopWithUnsatisfiableExitCondition.ql,1
XXE.ql,1
UncontrolledFormatString.ql,1
UncontrolledFormatStringThroughGlobalVar.ql,1
CleartextBufferWrite.ql,1
CleartextFileWrite.ql,1
CleartextTransmission.ql,1
IntegerOverflowTainted.ql,400
ComparisonWithWiderType.ql,1
ArithmeticUncontrolled.ql,1
ArithmeticTainted.ql,176
TaintedAllocationSize.ql,1
ArithmeticWithExtremeValues.ql,1
UnsafeDaclSecurityDescriptor.ql,1
DoNotCreateWorldWritable.ql,8
OpenCallMissingModeArgument.ql,1
TOCTOUFilesystemRace.ql,1
ImproperArrayIndexValidation.ql,11
UseOfHttp.ql,1
UnterminatedVarargsCall.ql,1
UnsignedDifferenceExpressionComparedZero.ql,2
CleartextSqliteDatabase.ql,1
PotentiallyExposedSystemData.ql,1
ExposedSystemData.ql,1
TaintedPath.ql,1
OpenSslHeartbleed.ql,1
BrokenCryptoAlgorithm.ql,24
SqlTainted.ql,1
InsufficientKeySize.ql,1
UnreleasedLock.ql,1
LockOrderCycle.ql,1
TwiceLocked.ql,1
MemsetMayBeDeleted.ql,1
TaintedCondition.ql,1
ConditionallyUninitializedVariable.ql,39
ExecTainted.ql,1
OverflowBuffer.ql,1
CgiXss.ql,1
UnsafeCreateProcessCall.ql,1
DeclarationOfVariableWithUnnecessarilyWideScope.ql,1
PamAuthorization.ql,1
AccessOfMemoryLocationAfterEndOfBufferUsingStrlen.ql,1
PrivilegeDroppingOutoforder.ql,1
PrivateCleartextWrite.ql,6
DangerousWorksWithMultibyteOrWideCharacters.ql,1
InsufficientControlFlowManagementAfterRefactoringTheCode.ql,1
InsufficientControlFlowManagementWhenUsingBitOperations.ql,1
DangerousUseOfExceptionBlocks.ql,1
IncorrectChangingWorkingDirectory.ql,1
DoubleRelease.ql,1
UnsignedToSignedPointerArith.ql,5
MemoryUnsafeFunctionScan.ql,1
