nameQL,countResults
startItem,-1
AlertSuppression.ql,1
NewArrayDeleteMismatch.ql,1
ReturnValueIgnored.ql,22
DescriptorMayNotBeClosed.ql,1
LargeParameter.ql,1
OverflowDestination.ql,53
Unused.ql,2604
InconsistentNullnessTesting.ql,198
NotInitialised.ql,1889
UseAfterFree.ql,15
MemoryNeverFreed.ql,10
OverflowCalculated.ql,1
NewDeleteArrayMismatch.ql,1
DeadCodeFunction.ql,78
LateNegativeTest.ql,6
DeadCodeGoto.ql,3
MissingNegativityTest.ql,4
NewFreeMismatch.ql,1
SizeCheck2.ql,2
OverflowStatic.ql,1
SizeCheck.ql,2
FileNeverClosed.ql,4
MissingNullTest.ql,1257
DeadCodeCondition.ql,236
LinesOfUserCode.ql,2
LinesOfCode.ql,2
Stats.ql,2
PreparedStagedPointsTo.ql,2
TaintedPath.ql,16
UnsignedDifferenceExpressionComparedZero.ql,1
TOCTOUFilesystemRace.ql,26
IRUntrustedDataToExternalAPI.ql,400
CountUntrustedDataToExternalAPI.ql,35
UntrustedDataToExternalAPI.ql,189
IRCountUntrustedDataToExternalAPI.ql,44
PotentiallyDangerousFunction.ql,8
DangerousUseOfCin.ql,1
DangerousFunctionOverflow.ql,1
UncontrolledProcessOperation.ql,4
UseOfHttp.ql,1
MemsetMayBeDeleted.ql,1
IncorrectAllocationErrorHandling.ql,1
SSLResultNotChecked.ql,1
SSLResultConflation.ql,1
UnreleasedLock.ql,1
TwiceLocked.ql,1
LockOrderCycle.ql,1
CleartextTransmission.ql,1
CleartextBufferWrite.ql,1
CleartextFileWrite.ql,1
BrokenCryptoAlgorithm.ql,4
OpenSslHeartbleed.ql,1
UnsafeCreateProcessCall.ql,1
UnterminatedVarargsCall.ql,1
SqlTainted.ql,1
VeryLikelyOverrunWrite.ql,1
UnboundedWrite.ql,1
OverrunWriteFloat.ql,1
BadlyBoundedWrite.ql,1
OverrunWrite.ql,1
CgiXss.ql,1
NoSpaceForZeroTerminator.ql,1
ArithmeticWithExtremeValues.ql,1
ArithmeticTainted.ql,144
ArithmeticUncontrolled.ql,1
IntegerOverflowTainted.ql,952
TaintedAllocationSize.ql,8
ComparisonWithWiderType.ql,2
ConditionallyUninitializedVariable.ql,5
InsufficientKeySize.ql,1
XXE.ql,1
TaintedCondition.ql,1
UnsafeDaclSecurityDescriptor.ql,1
OpenCallMissingModeArgument.ql,1
DoNotCreateWorldWritable.ql,11
PotentiallyExposedSystemData.ql,1
ExposedSystemData.ql,1
ExecTainted.ql,1
UncontrolledFormatString.ql,1
UncontrolledFormatStringThroughGlobalVar.ql,1
ImproperArrayIndexValidation.ql,270
ImproperNullTerminationTainted.ql,1
CleartextSqliteDatabase.ql,1
AuthenticationBypass.ql,1
HResultBooleanConversion.ql,1
InfiniteLoopWithUnsatisfiableExitCondition.ql,1
IncorrectPointerScaling.ql,17
IncorrectPointerScalingChar.ql,50
IncorrectPointerScalingVoid.ql,1
SuspiciousAddWithSizeof.ql,1
WcharCharConversion.ql,1
OverflowBuffer.ql,19
Cleanup-DuplicateIncludeGuard.ql,1
ExposureSensitiveInformationUnauthorizedActor.ql,1
UnsignedToSignedPointerArith.ql,20
IncorrectChangingWorkingDirectory.ql,1
LateCheckOfFunctionArgument.ql,1
NoCheckBeforeUnsafePutUser.ql,1
InsecureTemporaryFile.ql,1
OperatorPrecedenceLogicErrorWhenUseBoolType.ql,1
OperatorPrecedenceLogicErrorWhenUseBitwiseOrLogicalOperations.ql,1
PamAuthorization.ql,1
MemoryLeakOnFailedCallToRealloc.ql,32
DangerousUseOfExceptionBlocks.ql,1
DeclarationOfVariableWithUnnecessarilyWideScope.ql,1
MemoryMayNotBeFreed.ql,-1
FileMayNotBeClosed.ql,-1
GlobalUseBeforeInit.ql,-1
InitialisationNotRun.ql,-1
DescriptorNeverClosed.ql,-1
ReturnStackAllocatedObject.ql,-1
Debug.ql,-1
TaintedFormatStrings.ql,-1
ImproperCheckReturnValueScanf.ql,-1
FindIncorrectlyUsedSwitch.ql,-1
IncorrectPrivilegeAssignment.ql,-1
FindWrapperFunctions.ql,-1
