nameQL,countResults
startItem,-1
AlertSuppression.ql,1
NewArrayDeleteMismatch.ql,1
ReturnValueIgnored.ql,14
DescriptorMayNotBeClosed.ql,1
LargeParameter.ql,1
OverflowDestination.ql,1
MemoryMayNotBeFreed.ql,85
Unused.ql,339
InconsistentNullnessTesting.ql,1
FileMayNotBeClosed.ql,1
GlobalUseBeforeInit.ql,16
NotInitialised.ql,11
UseAfterFree.ql,13
MemoryNeverFreed.ql,32
OverflowCalculated.ql,1
NewDeleteArrayMismatch.ql,1
DeadCodeFunction.ql,57
InitialisationNotRun.ql,3
DescriptorNeverClosed.ql,1
LateNegativeTest.ql,1
DeadCodeGoto.ql,1
MissingNegativityTest.ql,2
NewFreeMismatch.ql,1
SizeCheck2.ql,1
OverflowStatic.ql,1
SizeCheck.ql,1
FileNeverClosed.ql,1
MissingNullTest.ql,22
ReturnStackAllocatedObject.ql,6
DeadCodeCondition.ql,7
LinesOfUserCode.ql,2
LinesOfCode.ql,2
Stats.ql,2
Debug.ql,1
PreparedStagedPointsTo.ql,2
TaintedFormatStrings.ql,5
TaintedPath.ql,22
UnsignedDifferenceExpressionComparedZero.ql,1
TOCTOUFilesystemRace.ql,3
IRUntrustedDataToExternalAPI.ql,96
CountUntrustedDataToExternalAPI.ql,30
UntrustedDataToExternalAPI.ql,64
IRCountUntrustedDataToExternalAPI.ql,22
PotentiallyDangerousFunction.ql,7
DangerousUseOfCin.ql,1
DangerousFunctionOverflow.ql,1
UncontrolledProcessOperation.ql,1
UseOfHttp.ql,2
MemsetMayBeDeleted.ql,1
IncorrectAllocationErrorHandling.ql,23
SSLResultNotChecked.ql,1
SSLResultConflation.ql,1
UnreleasedLock.ql,1
TwiceLocked.ql,1
LockOrderCycle.ql,1
CleartextTransmission.ql,1
CleartextBufferWrite.ql,1
CleartextFileWrite.ql,1
BrokenCryptoAlgorithm.ql,1
OpenSslHeartbleed.ql,1
UnsafeCreateProcessCall.ql,1
UnterminatedVarargsCall.ql,1
SqlTainted.ql,1
VeryLikelyOverrunWrite.ql,2
UnboundedWrite.ql,4
OverrunWriteFloat.ql,1
BadlyBoundedWrite.ql,1
OverrunWrite.ql,2
CgiXss.ql,1
NoSpaceForZeroTerminator.ql,1
ArithmeticWithExtremeValues.ql,1
ArithmeticTainted.ql,37
ArithmeticUncontrolled.ql,1
IntegerOverflowTainted.ql,118
TaintedAllocationSize.ql,1
ComparisonWithWiderType.ql,2
ConditionallyUninitializedVariable.ql,1
InsufficientKeySize.ql,1
XXE.ql,1
TaintedCondition.ql,1
UnsafeDaclSecurityDescriptor.ql,1
OpenCallMissingModeArgument.ql,1
DoNotCreateWorldWritable.ql,1
PotentiallyExposedSystemData.ql,1
ExposedSystemData.ql,1
ExecTainted.ql,1
UncontrolledFormatString.ql,5
UncontrolledFormatStringThroughGlobalVar.ql,1
ImproperArrayIndexValidation.ql,1
ImproperNullTerminationTainted.ql,2
CleartextSqliteDatabase.ql,1
AuthenticationBypass.ql,1
HResultBooleanConversion.ql,1
InfiniteLoopWithUnsatisfiableExitCondition.ql,1
IncorrectPointerScaling.ql,3
IncorrectPointerScalingChar.ql,6
IncorrectPointerScalingVoid.ql,1
SuspiciousAddWithSizeof.ql,1
WcharCharConversion.ql,1
OverflowBuffer.ql,1
Cleanup-DuplicateIncludeGuard.ql,1
ImproperCheckReturnValueScanf.ql,4
ExposureSensitiveInformationUnauthorizedActor.ql,1
UnsignedToSignedPointerArith.ql,1
IncorrectChangingWorkingDirectory.ql,1
FindIncorrectlyUsedSwitch.ql,1
LateCheckOfFunctionArgument.ql,1
NoCheckBeforeUnsafePutUser.ql,1
InsecureTemporaryFile.ql,1
