nameQL,countResults
startItem,-1
AlertSuppression.ql,1
NewArrayDeleteMismatch.ql,1
ReturnValueIgnored.ql,10
DescriptorMayNotBeClosed.ql,1
LargeParameter.ql,1
OverflowDestination.ql,1
MemoryMayNotBeFreed.ql,955
Unused.ql,1801
InconsistentNullnessTesting.ql,203
FileMayNotBeClosed.ql,17
GlobalUseBeforeInit.ql,-1
NotInitialised.ql,215
UseAfterFree.ql,1
MemoryNeverFreed.ql,85
OverflowCalculated.ql,1
NewDeleteArrayMismatch.ql,1
DeadCodeFunction.ql,7
InitialisationNotRun.ql,169
DescriptorNeverClosed.ql,1
LateNegativeTest.ql,1
DeadCodeGoto.ql,1
MissingNegativityTest.ql,2
NewFreeMismatch.ql,1
SizeCheck2.ql,2
OverflowStatic.ql,1
SizeCheck.ql,1
FileNeverClosed.ql,3
MissingNullTest.ql,802
ReturnStackAllocatedObject.ql,1
DeadCodeCondition.ql,205
LinesOfUserCode.ql,2
LinesOfCode.ql,2
Stats.ql,2
Debug.ql,1
PreparedStagedPointsTo.ql,2
TaintedFormatStrings.ql,1
TaintedPath.ql,5
UnsignedDifferenceExpressionComparedZero.ql,1
TOCTOUFilesystemRace.ql,7
IRUntrustedDataToExternalAPI.ql,194
CountUntrustedDataToExternalAPI.ql,1
UntrustedDataToExternalAPI.ql,1
IRCountUntrustedDataToExternalAPI.ql,30
PotentiallyDangerousFunction.ql,14
DangerousUseOfCin.ql,1
DangerousFunctionOverflow.ql,1
UncontrolledProcessOperation.ql,1
UseOfHttp.ql,1
MemsetMayBeDeleted.ql,2
IncorrectAllocationErrorHandling.ql,1
SSLResultNotChecked.ql,1
SSLResultConflation.ql,1
UnreleasedLock.ql,28
TwiceLocked.ql,2
LockOrderCycle.ql,1
CleartextTransmission.ql,1
CleartextBufferWrite.ql,1
CleartextFileWrite.ql,1
BrokenCryptoAlgorithm.ql,13
OpenSslHeartbleed.ql,1
UnsafeCreateProcessCall.ql,1
UnterminatedVarargsCall.ql,1
SqlTainted.ql,1
VeryLikelyOverrunWrite.ql,1
UnboundedWrite.ql,12
OverrunWriteFloat.ql,1
BadlyBoundedWrite.ql,1
OverrunWrite.ql,2
CgiXss.ql,1
NoSpaceForZeroTerminator.ql,1
ArithmeticWithExtremeValues.ql,3
ArithmeticTainted.ql,17
ArithmeticUncontrolled.ql,1
IntegerOverflowTainted.ql,73
TaintedAllocationSize.ql,1
ComparisonWithWiderType.ql,1
ConditionallyUninitializedVariable.ql,209
InsufficientKeySize.ql,1
XXE.ql,1
TaintedCondition.ql,1
UnsafeDaclSecurityDescriptor.ql,1
OpenCallMissingModeArgument.ql,1
DoNotCreateWorldWritable.ql,7
PotentiallyExposedSystemData.ql,1
ExposedSystemData.ql,1
ExecTainted.ql,1
UncontrolledFormatString.ql,1
UncontrolledFormatStringThroughGlobalVar.ql,3
ImproperArrayIndexValidation.ql,6
ImproperNullTerminationTainted.ql,1
CleartextSqliteDatabase.ql,1
AuthenticationBypass.ql,1
HResultBooleanConversion.ql,1
InfiniteLoopWithUnsatisfiableExitCondition.ql,1
IncorrectPointerScaling.ql,1
IncorrectPointerScalingChar.ql,1
IncorrectPointerScalingVoid.ql,1
SuspiciousAddWithSizeof.ql,1
WcharCharConversion.ql,1
OverflowBuffer.ql,1
Cleanup-DuplicateIncludeGuard.ql,3
ImproperCheckReturnValueScanf.ql,3
ExposureSensitiveInformationUnauthorizedActor.ql,1
UnsignedToSignedPointerArith.ql,1
IncorrectChangingWorkingDirectory.ql,1
FindIncorrectlyUsedSwitch.ql,-1
LateCheckOfFunctionArgument.ql,2
NoCheckBeforeUnsafePutUser.ql,1
InsecureTemporaryFile.ql,1
IncorrectPrivilegeAssignment.ql,-1
FindWrapperFunctions.ql,10
OperatorPrecedenceLogicErrorWhenUseBoolType.ql,1
OperatorPrecedenceLogicErrorWhenUseBitwiseOrLogicalOperations.ql,1
PamAuthorization.ql,1
MemoryLeakOnFailedCallToRealloc.ql,4
DangerousUseOfExceptionBlocks.ql,1
DeclarationOfVariableWithUnnecessarilyWideScope.ql,1
UndefinedOrImplementationDefinedBehavior.ql,1
DoubleRelease.ql,1
