nameQL,countResults
startItem,-1
AlertSuppression.ql,1
NewArrayDeleteMismatch.ql,1
ReturnValueIgnored.ql,199
DescriptorMayNotBeClosed.ql,1
LargeParameter.ql,2
OverflowDestination.ql,3
MemoryMayNotBeFreed.ql,68
Unused.ql,1303
InconsistentNullnessTesting.ql,4
FileMayNotBeClosed.ql,9
NotInitialised.ql,1378
UseAfterFree.ql,1
MemoryNeverFreed.ql,1
OverflowCalculated.ql,1
NewDeleteArrayMismatch.ql,1
DeadCodeFunction.ql,86
InitialisationNotRun.ql,66
DescriptorNeverClosed.ql,1
LateNegativeTest.ql,10
DeadCodeGoto.ql,2
MissingNegativityTest.ql,11
NewFreeMismatch.ql,1
SizeCheck2.ql,1
OverflowStatic.ql,1
SizeCheck.ql,1
FileNeverClosed.ql,2
MissingNullTest.ql,184
ReturnStackAllocatedObject.ql,1
DeadCodeCondition.ql,76
LinesOfUserCode.ql,2
LinesOfCode.ql,2
Stats.ql,2
Debug.ql,1
PreparedStagedPointsTo.ql,2
TaintedFormatStrings.ql,1
TaintedPath.ql,3
UnsignedDifferenceExpressionComparedZero.ql,3
TOCTOUFilesystemRace.ql,1
IRUntrustedDataToExternalAPI.ql,131
CountUntrustedDataToExternalAPI.ql,8
UntrustedDataToExternalAPI.ql,21
IRCountUntrustedDataToExternalAPI.ql,35
PotentiallyDangerousFunction.ql,7
DangerousUseOfCin.ql,1
DangerousFunctionOverflow.ql,1
UncontrolledProcessOperation.ql,1
UseOfHttp.ql,1
MemsetMayBeDeleted.ql,1
IncorrectAllocationErrorHandling.ql,1
SSLResultNotChecked.ql,1
SSLResultConflation.ql,1
UnreleasedLock.ql,6
TwiceLocked.ql,1
LockOrderCycle.ql,1
CleartextTransmission.ql,1
CleartextBufferWrite.ql,1
CleartextFileWrite.ql,1
BrokenCryptoAlgorithm.ql,27
OpenSslHeartbleed.ql,1
UnsafeCreateProcessCall.ql,1
UnterminatedVarargsCall.ql,1
SqlTainted.ql,1
VeryLikelyOverrunWrite.ql,1
UnboundedWrite.ql,6
OverrunWriteFloat.ql,1
BadlyBoundedWrite.ql,1
OverrunWrite.ql,1
CgiXss.ql,1
NoSpaceForZeroTerminator.ql,1
ArithmeticWithExtremeValues.ql,43
ArithmeticTainted.ql,119
ArithmeticUncontrolled.ql,1
IntegerOverflowTainted.ql,116
TaintedAllocationSize.ql,1
ComparisonWithWiderType.ql,2
ConditionallyUninitializedVariable.ql,55
InsufficientKeySize.ql,1
XXE.ql,1
TaintedCondition.ql,1
UnsafeDaclSecurityDescriptor.ql,1
OpenCallMissingModeArgument.ql,1
DoNotCreateWorldWritable.ql,8
PotentiallyExposedSystemData.ql,1
ExposedSystemData.ql,1
ExecTainted.ql,1
UncontrolledFormatString.ql,1
UncontrolledFormatStringThroughGlobalVar.ql,1
ImproperArrayIndexValidation.ql,4
ImproperNullTerminationTainted.ql,77
CleartextSqliteDatabase.ql,1
AuthenticationBypass.ql,4
HResultBooleanConversion.ql,1
InfiniteLoopWithUnsatisfiableExitCondition.ql,1
IncorrectPointerScaling.ql,91
IncorrectPointerScalingChar.ql,53
IncorrectPointerScalingVoid.ql,1
SuspiciousAddWithSizeof.ql,101
WcharCharConversion.ql,1
OverflowBuffer.ql,192
Cleanup-DuplicateIncludeGuard.ql,1
ImproperCheckReturnValueScanf.ql,1
ExposureSensitiveInformationUnauthorizedActor.ql,1
UnsignedToSignedPointerArith.ql,154
IncorrectChangingWorkingDirectory.ql,1
FindIncorrectlyUsedSwitch.ql,3
LateCheckOfFunctionArgument.ql,1
NoCheckBeforeUnsafePutUser.ql,1
InsecureTemporaryFile.ql,1
FindWrapperFunctions.ql,1
OperatorPrecedenceLogicErrorWhenUseBoolType.ql,1
OperatorPrecedenceLogicErrorWhenUseBitwiseOrLogicalOperations.ql,10
PamAuthorization.ql,1
MemoryLeakOnFailedCallToRealloc.ql,1
DangerousUseOfExceptionBlocks.ql,1
DeclarationOfVariableWithUnnecessarilyWideScope.ql,1
DoubleRelease.ql,1
MemoryUnsafeFunctionScan.ql,1
PrivilegeDroppingOutoforder.ql,1
DangerousUseOfTransformationAfterOperation.ql,4
AllocMultiplicationOverflow.ql,17
DoubleFree.ql,1
PrivateCleartextWrite.ql,5
AccessOfMemoryLocationAfterEndOfBufferUsingStrlen.ql,1
cwetmp.ql,1
double-fetch.ql,1
InsufficientControlFlowManagementWhenUsingBitOperations.ql,1
InsufficientControlFlowManagementAfterRefactoringTheCode.ql,2
DangerousUseSSL_shutdown.ql,1
FindIncorrectlyUsedExceptions.ql,1
RedundantNullCheckParam.ql,1
WrongUintAccess.ql,169
UselessTest.ql,1
UseInOwnInitializer.ql,1
RedundantNullCheckSimple.ql,1
InconsistentCheckReturnNull.ql,18
ReturnConstTypeMember.ql,1
NestedLoopSameVar.ql,4
ReturnConstType.ql,1
InconsistentCallOnResult.ql,1
ShortLoopVarName.ql,3011
AmbiguouslySignedBitField.ql,3
ContinueInFalseLoop.ql,1
UsingExpiredStackAddress.ql,1
StackAddressEscapes.ql,11
ReturnCstrOfLocalStdString.ql,1
NtohlArrayNoBound.ql,1
PointerOverflow.ql,2
SuspiciousCallToMemset.ql,29
UnsafeUseOfStrcat.ql,1
StrncpyFlippedArgs.ql,1
ImproperNullTermination.ql,4
SuspiciousSizeof.ql,1
ReturnStackAllocatedMemory.ql,1
UninitializedLocal.ql,215
PotentialBufferOverflow.ql,1
SuspiciousCallToStrncat.ql,1
AllocaInLoop.ql,1
More64BitWaste.ql,750
NonPortablePrintf.ql,53
Suboptimal64BitType.ql,406
UseOfDeprecatedHardcodedProtocol.ql,1
TlsSettingsMisconfiguration.ql,1
UncheckedReturnValueForTimeFunctions.ql,1
UnsafeArrayForDaysOfYear.ql,2
UncheckedLeapYearAfterYearModification.ql,1
Adding365DaysPerYear.ql,1
SelfAssignmentCheck.ql,1
VirtualCallInStructor.ql,1
UnsafeUseOfThis.ql,1
NonVirtualDestructor.ql,1
ThrowInDestructor.ql,1
NonVirtualDestructorInBaseClass.ql,1
IncorrectConstructorDelegation.ql,1
MissingEnumCaseInSwitch.ql,39
FutileConditional.ql,11
ExprHasNoEffect.ql,1
DubiousNullCheck.ql,1
UsingStrcpyAsBoolean.ql,1
LogicalExprCouldBeSimplified.ql,14
AssignWhereCompareMeant.ql,1
CompareWhereAssignMeant.ql,1
BoolValueInBitOp.ql,194
ShortCircuitBitMask.ql,1
inconsistentLoopDirection.ql,1
IncorrectNotOperatorUsage.ql,97
ConstructorOrMethodWithExactEraDate.ql,1
StructWithExactEraDate.ql,1
PointlessComparison.ql,37
BitwiseSignCheck.ql,3
FloatComparison.ql,42
IntMultToLong.ql,519
PointlessSelfComparison.ql,1
BadCheckOdd.ql,5
UnsignedGEZero.ql,1
SignedOverflowCheck.ql,4
BadAdditionOverflowCheck.ql,1
ComparisonPrecedence.ql,2
ComparisonWithCancelingSubExpr.ql,42
TooManyArguments.ql,1
ImplicitFunctionDeclaration.ql,1
TooFewArguments.ql,1
MistypedFunctionArguments.ql,1
SnprintfOverflow.ql,1
WrongTypeFormatArguments.ql,1
TooManyFormatArguments.ql,1
WrongNumberOfFormatArguments.ql,1
NonConstantFormat.ql,6
BlockWithTooManyStatements.ql,52
RuleOfThree.ql,1
SwitchLongCase.ql,211
ComplexCondition.ql,9
RuleOfTwo.ql,1
NVI.ql,1
SloppyGlobal.ql,1
NVIHub.ql,1
JapaneseEraDate.ql,1
MagicConstantsString.ql,26
MagicNumbersUseConstant.ql,1
MagicConstantsNumbers.ql,4798
MagicStringsUseConstant.ql,1
DeclarationHidesVariable.ql,313
DeclarationHidesParameter.ql,26
LocalVariableHidesGlobalVariable.ql,31
LeakyCatch.ql,1
AccidentalRethrow.ql,1
ThrowingPointers.ql,1
CatchingByValue.ql,1
EmptyBlock.ql,9
OffsetUseBeforeRangeCheck.ql,12
Slicing.ql,1
UnusedStaticFunctions.ql,32
UnusedStaticVariables.ql,22
UnusedLocals.ql,1
UnusedIncludes.ql,191
FailedExtractorInvocations.ql,1
SuccessfullyExtractedFiles.ql,2450
ExtractionWarnings.ql,1
ExtractionErrors.ql,1
ClassifyFiles.ql,10
IgnoreReturnValueSAL.ql,1
InconsistentSAL.ql,1
CallWithNullSAL.ql,1
UncommentedFunction.ql,348
FixmeComments.ql,819
CommentedOutCode.ql,281
DocumentApi.ql,11575
TodoComments.ql,1162
DangerousWorksWithMultibyteOrWideCharacters.ql,1
IncorrectPrivilegeAssignment.ql,1
UndefinedOrImplementationDefinedBehavior.ql,1
OverrunWriteProductFlow.ql,1
MissingCheckScanf.ql,245
InvalidPointerDeref.ql,1
ArrayAccessProductFlow.ql,278
ConstantSizeArrayOffByOne.ql,243
GlobalUseBeforeInit.ql,-1
