nameQL,countResults
startItem,-1
AlertSuppression.ql,1
NewArrayDeleteMismatch.ql,2
ReturnValueIgnored.ql,31
DescriptorMayNotBeClosed.ql,2
LargeParameter.ql,4
OverflowDestination.ql,3
MemoryMayNotBeFreed.ql,285
Unused.ql,870
InconsistentNullnessTesting.ql,29
FileMayNotBeClosed.ql,24
GlobalUseBeforeInit.ql,1580
NotInitialised.ql,336
UseAfterFree.ql,1
MemoryNeverFreed.ql,247
OverflowCalculated.ql,1
NewDeleteArrayMismatch.ql,1
DeadCodeFunction.ql,1871
InitialisationNotRun.ql,28
DescriptorNeverClosed.ql,4
LateNegativeTest.ql,3
DeadCodeGoto.ql,1
MissingNegativityTest.ql,4
NewFreeMismatch.ql,1
SizeCheck2.ql,1
OverflowStatic.ql,1
SizeCheck.ql,1
FileNeverClosed.ql,7
MissingNullTest.ql,271
ReturnStackAllocatedObject.ql,2
DeadCodeCondition.ql,33
LinesOfUserCode.ql,2
LinesOfCode.ql,2
Stats.ql,2
Debug.ql,1
PreparedStagedPointsTo.ql,2
TaintedFormatStrings.ql,6
TaintedPath.ql,50
UnsignedDifferenceExpressionComparedZero.ql,2
TOCTOUFilesystemRace.ql,13
IRUntrustedDataToExternalAPI.ql,1509
CountUntrustedDataToExternalAPI.ql,92
UntrustedDataToExternalAPI.ql,523
IRCountUntrustedDataToExternalAPI.ql,136
PotentiallyDangerousFunction.ql,7
DangerousUseOfCin.ql,1
DangerousFunctionOverflow.ql,1
UncontrolledProcessOperation.ql,1
UseOfHttp.ql,5
MemsetMayBeDeleted.ql,1
IncorrectAllocationErrorHandling.ql,148
SSLResultNotChecked.ql,3
SSLResultConflation.ql,1
UnreleasedLock.ql,3
TwiceLocked.ql,10
LockOrderCycle.ql,13
CleartextTransmission.ql,1
CleartextBufferWrite.ql,2
CleartextFileWrite.ql,1
BrokenCryptoAlgorithm.ql,1
OpenSslHeartbleed.ql,1
UnsafeCreateProcessCall.ql,1
UnterminatedVarargsCall.ql,1
SqlTainted.ql,1
VeryLikelyOverrunWrite.ql,1
UnboundedWrite.ql,10
OverrunWriteFloat.ql,1
BadlyBoundedWrite.ql,1
OverrunWrite.ql,2
CgiXss.ql,1
NoSpaceForZeroTerminator.ql,1
ArithmeticWithExtremeValues.ql,1
ArithmeticTainted.ql,194
ArithmeticUncontrolled.ql,1
IntegerOverflowTainted.ql,409
TaintedAllocationSize.ql,3
ComparisonWithWiderType.ql,2
ConditionallyUninitializedVariable.ql,32
InsufficientKeySize.ql,1
XXE.ql,1
TaintedCondition.ql,1
UnsafeDaclSecurityDescriptor.ql,1
OpenCallMissingModeArgument.ql,1
DoNotCreateWorldWritable.ql,5
PotentiallyExposedSystemData.ql,1
ExposedSystemData.ql,1
ExecTainted.ql,1
UncontrolledFormatString.ql,1
UncontrolledFormatStringThroughGlobalVar.ql,5
ImproperArrayIndexValidation.ql,198
ImproperNullTerminationTainted.ql,97
CleartextSqliteDatabase.ql,1
AuthenticationBypass.ql,3
HResultBooleanConversion.ql,1
InfiniteLoopWithUnsatisfiableExitCondition.ql,1
IncorrectPointerScaling.ql,6
IncorrectPointerScalingChar.ql,62
IncorrectPointerScalingVoid.ql,1
SuspiciousAddWithSizeof.ql,1
WcharCharConversion.ql,1
OverflowBuffer.ql,7
Cleanup-DuplicateIncludeGuard.ql,3
ImproperCheckReturnValueScanf.ql,1
ExposureSensitiveInformationUnauthorizedActor.ql,1
UnsignedToSignedPointerArith.ql,14
IncorrectChangingWorkingDirectory.ql,1
FindIncorrectlyUsedSwitch.ql,1
LateCheckOfFunctionArgument.ql,1
NoCheckBeforeUnsafePutUser.ql,1
InsecureTemporaryFile.ql,1
IncorrectPrivilegeAssignment.ql,-1
FindWrapperFunctions.ql,3
OperatorPrecedenceLogicErrorWhenUseBoolType.ql,2
OperatorPrecedenceLogicErrorWhenUseBitwiseOrLogicalOperations.ql,1
PamAuthorization.ql,1
MemoryLeakOnFailedCallToRealloc.ql,2
DangerousUseOfExceptionBlocks.ql,1
DeclarationOfVariableWithUnnecessarilyWideScope.ql,1
UndefinedOrImplementationDefinedBehavior.ql,-1
DoubleRelease.ql,5
MemoryUnsafeFunctionScan.ql,2
PrivilegeDroppingOutoforder.ql,1
DangerousUseOfTransformationAfterOperation.ql,1
AllocMultiplicationOverflow.ql,3
DoubleFree.ql,1
PrivateCleartextWrite.ql,4
AccessOfMemoryLocationAfterEndOfBufferUsingStrlen.ql,1
cwetmp.ql,1
double-fetch.ql,1
InsufficientControlFlowManagementWhenUsingBitOperations.ql,1
InsufficientControlFlowManagementAfterRefactoringTheCode.ql,1
DangerousUseSSL_shutdown.ql,1
FindIncorrectlyUsedExceptions.ql,1
RedundantNullCheckParam.ql,1
WrongUintAccess.ql,65
UselessTest.ql,1
UseInOwnInitializer.ql,1
RedundantNullCheckSimple.ql,4
InconsistentCheckReturnNull.ql,3
ReturnConstTypeMember.ql,1
NestedLoopSameVar.ql,1
ReturnConstType.ql,1
InconsistentCallOnResult.ql,1
ShortLoopVarName.ql,77
AmbiguouslySignedBitField.ql,1
ContinueInFalseLoop.ql,1
UsingExpiredStackAddress.ql,1
StackAddressEscapes.ql,118
