nameQL,countResults
startItem,-1
AlertSuppression.ql,1
NewArrayDeleteMismatch.ql,1
ReturnValueIgnored.ql,114
DescriptorMayNotBeClosed.ql,1
LargeParameter.ql,1
OverflowDestination.ql,13
MemoryMayNotBeFreed.ql,-1
Unused.ql,3413
InconsistentNullnessTesting.ql,7
FileMayNotBeClosed.ql,-1
GlobalUseBeforeInit.ql,-1
NotInitialised.ql,118
UseAfterFree.ql,1
MemoryNeverFreed.ql,83
OverflowCalculated.ql,1
NewDeleteArrayMismatch.ql,1
DeadCodeFunction.ql,184
InitialisationNotRun.ql,5
DescriptorNeverClosed.ql,1
LateNegativeTest.ql,114
DeadCodeGoto.ql,1
MissingNegativityTest.ql,16
NewFreeMismatch.ql,1
SizeCheck2.ql,1
OverflowStatic.ql,1
SizeCheck.ql,1
FileNeverClosed.ql,1
MissingNullTest.ql,520
ReturnStackAllocatedObject.ql,1
DeadCodeCondition.ql,64
LinesOfUserCode.ql,2
LinesOfCode.ql,2
Stats.ql,2
Debug.ql,1
PreparedStagedPointsTo.ql,2
TaintedFormatStrings.ql,3
TaintedPath.ql,295
UnsignedDifferenceExpressionComparedZero.ql,1
TOCTOUFilesystemRace.ql,1
IRUntrustedDataToExternalAPI.ql,41297
CountUntrustedDataToExternalAPI.ql,220
UntrustedDataToExternalAPI.ql,1945
IRCountUntrustedDataToExternalAPI.ql,670
PotentiallyDangerousFunction.ql,1
DangerousUseOfCin.ql,1
DangerousFunctionOverflow.ql,1
UncontrolledProcessOperation.ql,4
UseOfHttp.ql,1
MemsetMayBeDeleted.ql,1
IncorrectAllocationErrorHandling.ql,1
SSLResultNotChecked.ql,1
SSLResultConflation.ql,1
UnreleasedLock.ql,1
TwiceLocked.ql,1
LockOrderCycle.ql,1
CleartextTransmission.ql,1
CleartextBufferWrite.ql,1
CleartextFileWrite.ql,1
BrokenCryptoAlgorithm.ql,1
OpenSslHeartbleed.ql,1
UnsafeCreateProcessCall.ql,1
UnterminatedVarargsCall.ql,1
SqlTainted.ql,1
VeryLikelyOverrunWrite.ql,1
UnboundedWrite.ql,4
OverrunWriteFloat.ql,1
BadlyBoundedWrite.ql,1
OverrunWrite.ql,1
CgiXss.ql,1
NoSpaceForZeroTerminator.ql,1
ArithmeticWithExtremeValues.ql,1
ArithmeticTainted.ql,521
ArithmeticUncontrolled.ql,1
IntegerOverflowTainted.ql,2175
TaintedAllocationSize.ql,1
ComparisonWithWiderType.ql,1
ConditionallyUninitializedVariable.ql,31
InsufficientKeySize.ql,1
XXE.ql,1
TaintedCondition.ql,1
UnsafeDaclSecurityDescriptor.ql,1
OpenCallMissingModeArgument.ql,1
DoNotCreateWorldWritable.ql,4
PotentiallyExposedSystemData.ql,1
ExposedSystemData.ql,1
ExecTainted.ql,1
UncontrolledFormatString.ql,5
UncontrolledFormatStringThroughGlobalVar.ql,1
ImproperArrayIndexValidation.ql,148
ImproperNullTerminationTainted.ql,295
CleartextSqliteDatabase.ql,1
AuthenticationBypass.ql,1
HResultBooleanConversion.ql,1
InfiniteLoopWithUnsatisfiableExitCondition.ql,1
IncorrectPointerScaling.ql,1
IncorrectPointerScalingChar.ql,1
IncorrectPointerScalingVoid.ql,1
SuspiciousAddWithSizeof.ql,1
WcharCharConversion.ql,1
OverflowBuffer.ql,1
Cleanup-DuplicateIncludeGuard.ql,3
ImproperCheckReturnValueScanf.ql,-1
ExposureSensitiveInformationUnauthorizedActor.ql,1
UnsignedToSignedPointerArith.ql,1
IncorrectChangingWorkingDirectory.ql,1
FindIncorrectlyUsedSwitch.ql,-1
LateCheckOfFunctionArgument.ql,1
NoCheckBeforeUnsafePutUser.ql,1
InsecureTemporaryFile.ql,1
IncorrectPrivilegeAssignment.ql,-1
