nameQL,countResults
startItem,-1
AlertSuppression.ql,1
NewArrayDeleteMismatch.ql,2
ReturnValueIgnored.ql,13
DescriptorMayNotBeClosed.ql,1
LargeParameter.ql,2
OverflowDestination.ql,1
MemoryMayNotBeFreed.ql,78
Unused.ql,331
InconsistentNullnessTesting.ql,1
FileMayNotBeClosed.ql,1
GlobalUseBeforeInit.ql,21
NotInitialised.ql,9
UseAfterFree.ql,13
MemoryNeverFreed.ql,31
OverflowCalculated.ql,1
NewDeleteArrayMismatch.ql,1
DeadCodeFunction.ql,58
InitialisationNotRun.ql,3
DescriptorNeverClosed.ql,1
LateNegativeTest.ql,1
DeadCodeGoto.ql,1
MissingNegativityTest.ql,2
NewFreeMismatch.ql,1
SizeCheck2.ql,1
OverflowStatic.ql,1
SizeCheck.ql,1
FileNeverClosed.ql,1
MissingNullTest.ql,22
ReturnStackAllocatedObject.ql,6
DeadCodeCondition.ql,7
LinesOfUserCode.ql,2
LinesOfCode.ql,2
Stats.ql,2
Debug.ql,1
PreparedStagedPointsTo.ql,2
TaintedFormatStrings.ql,5
TaintedPath.ql,22
UnsignedDifferenceExpressionComparedZero.ql,1
TOCTOUFilesystemRace.ql,3
IRUntrustedDataToExternalAPI.ql,105
CountUntrustedDataToExternalAPI.ql,26
UntrustedDataToExternalAPI.ql,56
IRCountUntrustedDataToExternalAPI.ql,26
PotentiallyDangerousFunction.ql,6
DangerousUseOfCin.ql,1
DangerousFunctionOverflow.ql,1
UncontrolledProcessOperation.ql,1
UseOfHttp.ql,2
MemsetMayBeDeleted.ql,1
IncorrectAllocationErrorHandling.ql,1
SSLResultNotChecked.ql,1
SSLResultConflation.ql,1
UnreleasedLock.ql,1
TwiceLocked.ql,1
LockOrderCycle.ql,1
CleartextTransmission.ql,1
CleartextBufferWrite.ql,1
CleartextFileWrite.ql,1
BrokenCryptoAlgorithm.ql,1
OpenSslHeartbleed.ql,1
UnsafeCreateProcessCall.ql,1
UnterminatedVarargsCall.ql,1
SqlTainted.ql,1
VeryLikelyOverrunWrite.ql,2
UnboundedWrite.ql,4
OverrunWriteFloat.ql,1
BadlyBoundedWrite.ql,1
OverrunWrite.ql,3
CgiXss.ql,1
NoSpaceForZeroTerminator.ql,1
ArithmeticWithExtremeValues.ql,1
ArithmeticTainted.ql,4
ArithmeticUncontrolled.ql,1
IntegerOverflowTainted.ql,78
TaintedAllocationSize.ql,1
ComparisonWithWiderType.ql,1
ConditionallyUninitializedVariable.ql,1
InsufficientKeySize.ql,1
XXE.ql,1
TaintedCondition.ql,1
UnsafeDaclSecurityDescriptor.ql,1
OpenCallMissingModeArgument.ql,1
DoNotCreateWorldWritable.ql,1
PotentiallyExposedSystemData.ql,1
ExposedSystemData.ql,1
ExecTainted.ql,1
UncontrolledFormatString.ql,5
UncontrolledFormatStringThroughGlobalVar.ql,1
ImproperArrayIndexValidation.ql,1
ImproperNullTerminationTainted.ql,5
CleartextSqliteDatabase.ql,1
AuthenticationBypass.ql,1
HResultBooleanConversion.ql,1
InfiniteLoopWithUnsatisfiableExitCondition.ql,1
IncorrectPointerScaling.ql,3
IncorrectPointerScalingChar.ql,6
IncorrectPointerScalingVoid.ql,1
SuspiciousAddWithSizeof.ql,1
WcharCharConversion.ql,1
OverflowBuffer.ql,1
Cleanup-DuplicateIncludeGuard.ql,1
ImproperCheckReturnValueScanf.ql,4
ExposureSensitiveInformationUnauthorizedActor.ql,1
UnsignedToSignedPointerArith.ql,1
IncorrectChangingWorkingDirectory.ql,1
FindIncorrectlyUsedSwitch.ql,1
LateCheckOfFunctionArgument.ql,1
NoCheckBeforeUnsafePutUser.ql,1
InsecureTemporaryFile.ql,1
IncorrectPrivilegeAssignment.ql,1
FindWrapperFunctions.ql,5
OperatorPrecedenceLogicErrorWhenUseBoolType.ql,1
OperatorPrecedenceLogicErrorWhenUseBitwiseOrLogicalOperations.ql,1
PamAuthorization.ql,1
MemoryLeakOnFailedCallToRealloc.ql,2
DangerousUseOfExceptionBlocks.ql,1
DeclarationOfVariableWithUnnecessarilyWideScope.ql,1
UndefinedOrImplementationDefinedBehavior.ql,1
DoubleRelease.ql,1
MemoryUnsafeFunctionScan.ql,1
PrivilegeDroppingOutoforder.ql,1
DangerousUseOfTransformationAfterOperation.ql,1
AllocMultiplicationOverflow.ql,8
DoubleFree.ql,1
PrivateCleartextWrite.ql,1
AccessOfMemoryLocationAfterEndOfBufferUsingStrlen.ql,1
cwetmp.ql,1
double-fetch.ql,1
InsufficientControlFlowManagementWhenUsingBitOperations.ql,1
InsufficientControlFlowManagementAfterRefactoringTheCode.ql,1
DangerousUseSSL_shutdown.ql,1
FindIncorrectlyUsedExceptions.ql,1
RedundantNullCheckParam.ql,1
WrongUintAccess.ql,2
UselessTest.ql,1
UseInOwnInitializer.ql,1
RedundantNullCheckSimple.ql,1
InconsistentCheckReturnNull.ql,4
ReturnConstTypeMember.ql,1
NestedLoopSameVar.ql,1
ReturnConstType.ql,1
InconsistentCallOnResult.ql,1
ShortLoopVarName.ql,18
AmbiguouslySignedBitField.ql,1
ContinueInFalseLoop.ql,1
UsingExpiredStackAddress.ql,1
StackAddressEscapes.ql,22
ReturnCstrOfLocalStdString.ql,1
NtohlArrayNoBound.ql,1
PointerOverflow.ql,1
SuspiciousCallToMemset.ql,1
UnsafeUseOfStrcat.ql,1
StrncpyFlippedArgs.ql,1
ImproperNullTermination.ql,1
SuspiciousSizeof.ql,1
ReturnStackAllocatedMemory.ql,1
UninitializedLocal.ql,1
PotentialBufferOverflow.ql,3
SuspiciousCallToStrncat.ql,1
AllocaInLoop.ql,1
More64BitWaste.ql,93
NonPortablePrintf.ql,11
Suboptimal64BitType.ql,20
UseOfDeprecatedHardcodedProtocol.ql,1
TlsSettingsMisconfiguration.ql,1
UncheckedReturnValueForTimeFunctions.ql,1
UnsafeArrayForDaysOfYear.ql,1
UncheckedLeapYearAfterYearModification.ql,3
Adding365DaysPerYear.ql,1
SelfAssignmentCheck.ql,1
VirtualCallInStructor.ql,5
UnsafeUseOfThis.ql,1
NonVirtualDestructor.ql,149
ThrowInDestructor.ql,1
NonVirtualDestructorInBaseClass.ql,1
IncorrectConstructorDelegation.ql,1
MissingEnumCaseInSwitch.ql,1
FutileConditional.ql,5
ExprHasNoEffect.ql,1
DubiousNullCheck.ql,1
UsingStrcpyAsBoolean.ql,1
LogicalExprCouldBeSimplified.ql,1
AssignWhereCompareMeant.ql,1
CompareWhereAssignMeant.ql,1
BoolValueInBitOp.ql,1
ShortCircuitBitMask.ql,1
inconsistentLoopDirection.ql,1
IncorrectNotOperatorUsage.ql,1
ConstructorOrMethodWithExactEraDate.ql,1
StructWithExactEraDate.ql,1
PointlessComparison.ql,3
BitwiseSignCheck.ql,1
FloatComparison.ql,3
IntMultToLong.ql,3
PointlessSelfComparison.ql,1
BadCheckOdd.ql,2
UnsignedGEZero.ql,2
SignedOverflowCheck.ql,1
BadAdditionOverflowCheck.ql,1
ComparisonPrecedence.ql,1
ComparisonWithCancelingSubExpr.ql,1
TooManyArguments.ql,1
ImplicitFunctionDeclaration.ql,1
TooFewArguments.ql,1
MistypedFunctionArguments.ql,1
SnprintfOverflow.ql,1
WrongTypeFormatArguments.ql,14
TooManyFormatArguments.ql,1
WrongNumberOfFormatArguments.ql,1
NonConstantFormat.ql,3
BlockWithTooManyStatements.ql,1
RuleOfThree.ql,1605
SwitchLongCase.ql,10
ComplexCondition.ql,1
RuleOfTwo.ql,16
NVI.ql,1154
SloppyGlobal.ql,1
NVIHub.ql,576
JapaneseEraDate.ql,1
MagicConstantsString.ql,46
MagicNumbersUseConstant.ql,1
MagicConstantsNumbers.ql,12
MagicStringsUseConstant.ql,1
DeclarationHidesVariable.ql,17
DeclarationHidesParameter.ql,1
LocalVariableHidesGlobalVariable.ql,1
LeakyCatch.ql,1
AccidentalRethrow.ql,1
ThrowingPointers.ql,1
CatchingByValue.ql,1
EmptyBlock.ql,2
OffsetUseBeforeRangeCheck.ql,3
Slicing.ql,1
UnusedStaticFunctions.ql,1
UnusedStaticVariables.ql,7
UnusedLocals.ql,1
UnusedIncludes.ql,74
FailedExtractorInvocations.ql,1
SuccessfullyExtractedFiles.ql,291
ExtractionWarnings.ql,6
ExtractionErrors.ql,6
ClassifyFiles.ql,4
IgnoreReturnValueSAL.ql,1
InconsistentSAL.ql,1
CallWithNullSAL.ql,1
UncommentedFunction.ql,6
FixmeComments.ql,23
CommentedOutCode.ql,388
DocumentApi.ql,20
TodoComments.ql,63
DangerousWorksWithMultibyteOrWideCharacters.ql,1
ArrayAccessProductFlow.ql,51
OverrunWriteProductFlow.ql,247
MissingCheckScanf.ql,21
InvalidPointerDeref.ql,5
