nameQL,countResults
startItem,-1
AlertSuppression.ql,1
ClassifyFiles.ql,3
CommentedOutCode.ql,27
UncommentedFunction.ql,34
DocumentApi.ql,3653
TodoComments.ql,363
FixmeComments.ql,1
LinesOfUserCode.ql,2
LinesOfCode.ql,2
Cleanup-DuplicateIncludeGuard.ql,5
Debug.ql,1
TaintedFormatStrings.ql,1
Stats.ql,2
PreparedStagedPointsTo.ql,2
IncorrectAllocationErrorHandling.ql,1
NoSpaceForZeroTerminator.ql,1
ImproperNullTerminationTainted.ql,7
AuthenticationBypass.ql,1
SuspiciousAddWithSizeof.ql,1
IncorrectPointerScaling.ql,3
IncorrectPointerScalingChar.ql,8
IncorrectPointerScalingVoid.ql,1
HResultBooleanConversion.ql,1
UncontrolledProcessOperation.ql,1
DangerousFunctionOverflow.ql,1
PotentiallyDangerousFunction.ql,5
DangerousUseOfCin.ql,1
SSLResultNotChecked.ql,1
SSLResultConflation.ql,1
BadlyBoundedWrite.ql,1
OverrunWriteFloat.ql,1
VeryLikelyOverrunWrite.ql,1
OverrunWrite.ql,1
UnboundedWrite.ql,1
WcharCharConversion.ql,1
IRUntrustedDataToExternalAPI.ql,223
IRCountUntrustedDataToExternalAPI.ql,26
CountUntrustedDataToExternalAPI.ql,26
InfiniteLoopWithUnsatisfiableExitCondition.ql,1
XXE.ql,1
UncontrolledFormatString.ql,1
UncontrolledFormatStringThroughGlobalVar.ql,1
CleartextBufferWrite.ql,1
CleartextFileWrite.ql,1
CleartextTransmission.ql,2
IntegerOverflowTainted.ql,400
ComparisonWithWiderType.ql,1
ArithmeticUncontrolled.ql,1
ArithmeticTainted.ql,176
TaintedAllocationSize.ql,1
ArithmeticWithExtremeValues.ql,1
UnsafeDaclSecurityDescriptor.ql,1
DoNotCreateWorldWritable.ql,8
OpenCallMissingModeArgument.ql,1
TOCTOUFilesystemRace.ql,1
ImproperArrayIndexValidation.ql,11
UseOfHttp.ql,1
UnterminatedVarargsCall.ql,1
UnsignedDifferenceExpressionComparedZero.ql,2
CleartextSqliteDatabase.ql,1
PotentiallyExposedSystemData.ql,1
ExposedSystemData.ql,1
TaintedPath.ql,1
OpenSslHeartbleed.ql,1
BrokenCryptoAlgorithm.ql,24
SqlTainted.ql,1
InsufficientKeySize.ql,1
UnreleasedLock.ql,1
LockOrderCycle.ql,1
TwiceLocked.ql,1
MemsetMayBeDeleted.ql,1
TaintedCondition.ql,1
ConditionallyUninitializedVariable.ql,39
ExecTainted.ql,1
OverflowBuffer.ql,1
CgiXss.ql,1
UnsafeCreateProcessCall.ql,1
DeclarationOfVariableWithUnnecessarilyWideScope.ql,1
PamAuthorization.ql,1
AccessOfMemoryLocationAfterEndOfBufferUsingStrlen.ql,1
PrivilegeDroppingOutoforder.ql,1
PrivateCleartextWrite.ql,6
DangerousWorksWithMultibyteOrWideCharacters.ql,1
InsufficientControlFlowManagementAfterRefactoringTheCode.ql,1
InsufficientControlFlowManagementWhenUsingBitOperations.ql,1
DangerousUseOfExceptionBlocks.ql,1
IncorrectChangingWorkingDirectory.ql,1
DoubleRelease.ql,1
UnsignedToSignedPointerArith.ql,5
MemoryUnsafeFunctionScan.ql,1
InvalidPointerDeref.ql,4
NoCheckBeforeUnsafePutUser.ql,1
LateCheckOfFunctionArgument.ql,1
AllocMultiplicationOverflow.ql,5
DangerousUseOfTransformationAfterOperation.ql,1
DangerousUseSSL_shutdown.ql,1
DoubleFree.ql,1
InsecureTemporaryFile.ql,1
MemoryLeakOnFailedCallToRealloc.ql,1
FindIncorrectlyUsedExceptions.ql,1
cwetmp.ql,1
FindIncorrectlyUsedSwitch.ql,1
FindWrapperFunctions.ql,1
IncorrectPrivilegeAssignment.ql,1
UndefinedOrImplementationDefinedBehavior.ql,1
double-fetch.ql,1
ExposureSensitiveInformationUnauthorizedActor.ql,7
ImproperCheckReturnValueScanf.ql,1
OperatorPrecedenceLogicErrorWhenUseBoolType.ql,1
OperatorPrecedenceLogicErrorWhenUseBitwiseOrLogicalOperations.ql,1
RedundantNullCheckParam.ql,1
ArrayAccessProductFlow.ql,152
OverrunWriteProductFlow.ql,343
WrongUintAccess.ql,1
UselessTest.ql,1
CallWithNullSAL.ql,1
IgnoreReturnValueSAL.ql,1
InconsistentSAL.ql,1
FailedExtractorInvocations.ql,1
SuccessfullyExtractedFiles.ql,362
ExtractionWarnings.ql,1
ExtractionErrors.ql,1
InconsistentCallOnResult.ql,1
RedundantNullCheckSimple.ql,1
AmbiguouslySignedBitField.ql,1
ReturnConstType.ql,1
NestedLoopSameVar.ql,1
InconsistentCheckReturnNull.ql,2
ReturnConstTypeMember.ql,1
ShortLoopVarName.ql,55
UseInOwnInitializer.ql,1
ContinueInFalseLoop.ql,1
StructWithExactEraDate.ql,1
ConstructorOrMethodWithExactEraDate.ql,1
ImplicitFunctionDeclaration.ql,1
MistypedFunctionArguments.ql,1
TooManyArguments.ql,1
TooFewArguments.ql,1
UseOfDeprecatedHardcodedProtocol.ql,1
TlsSettingsMisconfiguration.ql,1
ThrowInDestructor.ql,1
NonVirtualDestructor.ql,1
VirtualCallInStructor.ql,1
NonVirtualDestructorInBaseClass.ql,1
IncorrectConstructorDelegation.ql,1
SelfAssignmentCheck.ql,1
UnsafeUseOfThis.ql,1
StackAddressEscapes.ql,1
ReturnCstrOfLocalStdString.ql,1
UsingExpiredStackAddress.ql,1
StrncpyFlippedArgs.ql,1
PotentialBufferOverflow.ql,1
SuspiciousCallToStrncat.ql,1
SuspiciousSizeof.ql,2
NtohlArrayNoBound.ql,1
ReturnStackAllocatedMemory.ql,1
ImproperNullTermination.ql,1
UninitializedLocal.ql,11
SuspiciousCallToMemset.ql,1
AllocaInLoop.ql,1
UnsafeUseOfStrcat.ql,1
PointerOverflow.ql,1
More64BitWaste.ql,162
Suboptimal64BitType.ql,91
NonPortablePrintf.ql,16
ExprHasNoEffect.ql,2
IncorrectNotOperatorUsage.ql,1
ShortCircuitBitMask.ql,1
DubiousNullCheck.ql,1
MissingEnumCaseInSwitch.ql,1
UsingStrcpyAsBoolean.ql,1
AssignWhereCompareMeant.ql,1
BoolValueInBitOp.ql,1
FutileConditional.ql,4
inconsistentLoopDirection.ql,1
LogicalExprCouldBeSimplified.ql,1
CompareWhereAssignMeant.ql,1
BadAdditionOverflowCheck.ql,1
BadCheckOdd.ql,1
PointlessSelfComparison.ql,1
FloatComparison.ql,1
ComparisonWithCancelingSubExpr.ql,1
PointlessComparison.ql,2
SignedOverflowCheck.ql,1
IntMultToLong.ql,2
BitwiseSignCheck.ql,1
UnsignedGEZero.ql,1
ComparisonPrecedence.ql,1
SnprintfOverflow.ql,26
WrongTypeFormatArguments.ql,1
TooManyFormatArguments.ql,1
NonConstantFormat.ql,1
WrongNumberOfFormatArguments.ql,1
Adding365DaysPerYear.ql,1
UncheckedLeapYearAfterYearModification.ql,1
UnsafeArrayForDaysOfYear.ql,1
UncheckedReturnValueForTimeFunctions.ql,1
NotInitialised.ql,214
SizeCheck.ql,1
Unused.ql,45
MissingCheckScanf.ql,4
MemoryMayNotBeFreed.ql,112
InconsistentNullnessTesting.ql,9
FileNeverClosed.ql,1
OverflowCalculated.ql,1
DeadCodeFunction.ql,38
ReturnStackAllocatedObject.ql,1
GlobalUseBeforeInit.ql,1
DescriptorNeverClosed.ql,1
LateNegativeTest.ql,1
OverflowStatic.ql,1
DeadCodeGoto.ql,1
SizeCheck2.ql,1
NewDeleteArrayMismatch.ql,1
OverflowDestination.ql,3
InitialisationNotRun.ql,8
FileMayNotBeClosed.ql,2
DescriptorMayNotBeClosed.ql,2
NewArrayDeleteMismatch.ql,1
LargeParameter.ql,1
MemoryNeverFreed.ql,4
DeadCodeCondition.ql,24
NewFreeMismatch.ql,1
MissingNullTest.ql,10
ReturnValueIgnored.ql,1
UseAfterFree.ql,1
MissingNegativityTest.ql,1
RuleOfTwo.ql,1
NVI.ql,1
SwitchLongCase.ql,16
NVIHub.ql,1
RuleOfThree.ql,1
BlockWithTooManyStatements.ql,1
ComplexCondition.ql,3
SloppyGlobal.ql,11
LeakyCatch.ql,1
CatchingByValue.ql,1
AccidentalRethrow.ql,1
ThrowingPointers.ql,1
MagicConstantsString.ql,1
MagicStringsUseConstant.ql,1
MagicNumbersUseConstant.ql,1
MagicConstantsNumbers.ql,67
JapaneseEraDate.ql,1
LocalVariableHidesGlobalVariable.ql,1
DeclarationHidesParameter.ql,1
DeclarationHidesVariable.ql,1
EmptyBlock.ql,7
Slicing.ql,1
OffsetUseBeforeRangeCheck.ql,2
UnusedIncludes.ql,412
UnusedStaticVariables.ql,1
UnusedStaticFunctions.ql,1
UnusedLocals.ql,1
ConstantSizeArrayOffByOne.ql,1
CommaBeforeMisleadingIndentation.ql,1
WordexpTainted.ql,1
UntrustedDataToExternalAPI.ql,7
BufferAccessWithIncorrectLengthValue.ql,1
